time,temperature_2m,wind_speed_10m,hour,price
2025-01-01 00:00:00,5.5,28.7,0,1.6
2025-01-01 01:00:00,5.9,29.0,1,0.0
2025-01-01 02:00:00,6.2,30.5,2,-0.01
2025-01-01 03:00:00,6.9,31.6,3,-0.01
2025-01-01 04:00:00,7.3,31.3,4,-0.06
2025-01-01 05:00:00,7.7,32.1,5,-0.09
2025-01-01 06:00:00,7.6,32.7,6,-0.01
2025-01-01 07:00:00,7.5,32.8,7,-0.01
2025-01-01 08:00:00,7.3,32.5,8,-0.04
2025-01-01 09:00:00,7.2,33.0,9,-0.03
2025-01-01 10:00:00,7.2,33.6,10,-0.1
2025-01-01 11:00:00,6.9,27.8,11,-0.05
2025-01-01 12:00:00,6.6,28.6,12,-0.1
2025-01-01 13:00:00,7.5,33.3,13,-1.01
2025-01-01 14:00:00,7.7,32.2,14,-0.01
2025-01-01 15:00:00,7.5,33.0,15,-0.01
2025-01-01 16:00:00,7.5,35.2,16,0.07
2025-01-01 17:00:00,7.3,31.5,17,1.01
2025-01-01 18:00:00,7.0,26.2,18,1.48
2025-01-01 19:00:00,6.8,20.7,19,1.0
2025-01-01 20:00:00,5.9,23.6,20,0.07
2025-01-01 21:00:00,5.1,22.8,21,10.05
2025-01-01 22:00:00,4.8,22.9,22,7.01
2025-01-01 23:00:00,4.7,25.0,23,2.55
2025-01-02 00:00:00,4.8,23.5,0,1.56
2025-01-02 01:00:00,5.6,24.6,1,3.45
2025-01-02 02:00:00,5.0,25.2,2,7.02
2025-01-02 03:00:00,3.7,18.3,3,12.75
2025-01-02 04:00:00,4.1,17.2,4,30.07
2025-01-02 05:00:00,3.5,15.3,5,67.13
2025-01-02 06:00:00,2.9,13.0,6,98.83
2025-01-02 07:00:00,2.4,12.8,7,121.53
2025-01-02 08:00:00,2.3,13.5,8,127.23
2025-01-02 09:00:00,2.9,15.0,9,126.35
2025-01-02 10:00:00,3.6,12.8,10,119.97
2025-01-02 11:00:00,4.3,14.8,11,115.95
2025-01-02 12:00:00,4.5,15.3,12,113.9
2025-01-02 13:00:00,3.4,11.3,13,122.21
2025-01-02 14:00:00,3.3,12.8,14,130.11
2025-01-02 15:00:00,2.9,13.9,15,138.59
2025-01-02 16:00:00,2.6,14.0,16,152.87
2025-01-02 17:00:00,2.3,15.4,17,152.94
2025-01-02 18:00:00,1.9,14.6,18,139.15
2025-01-02 19:00:00,1.3,14.4,19,130.0
